Age,Age_Band ,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,DistanceFromHome_Band,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,HourlyRate_Band,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyIncome_Band,MonthlyRate,NumCompaniesWorked,NumCompaniesWorked_Band,Over18,OverTime,PercentSalaryHike,PercentSalaryHike_Band,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TotalWorkingYears_Band,TrainingTimesLastYear,TrainingTimesLastYear_Band,WorkLifeBalance,YearsAtCompany,YearsAtCompany_Band,YearsInCurrentRole,YearsInCurrentRole_Band,YearsSinceLastPromotion,YearsSinceLastPromotion_Band,YearsWithCurrManager,YearsWithCurrManager_Band
41,41-50 yrs old,Yes,Travel_Rarely,1102,Sales,1,0-10KM,2,Life Sciences,1,1,2,Female,94,>RM90,3,2,Sales Executive,4,Single,5993,RM5001-RM10000,19479,8,>5,Y,Yes,11,11-15%,3,1,80,0,8,7-9 years,0,0-2 hours,1,6,4-6 years,4,4-6 years,0,0-3 years,5,4-6 years
49,41-50 yrs old,No,Travel_Frequently,279,Research & Development,8,0-10KM,1,Life Sciences,1,2,3,Male,61,RM61-RM90,2,2,Research Scientist,2,Married,5130,RM5001-RM10000,24907,1,0-2,Y,No,23,>20%,4,4,80,1,10,>9 years,3,3-5 hours,3,10,>9 years,7,7-9 years,1,0-3 years,7,7-9 years
37,31-40 yrs old,Yes,Travel_Rarely,1373,Research & Development,2,0-10KM,2,Other,1,4,4,Male,92,>RM90,2,1,Laboratory Technician,3,Single,2090,RM0-RM5000,2396,6,>5,Y,Yes,15,11-15%,3,2,80,0,7,7-9 years,3,3-5 hours,3,0,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
33,31-40 yrs old,No,Travel_Frequently,1392,Research & Development,3,0-10KM,4,Life Sciences,1,5,4,Female,56,RM31-RM60,3,1,Research Scientist,3,Married,2909,RM0-RM5000,23159,1,0-2,Y,Yes,11,11-15%,3,3,80,0,8,7-9 years,3,3-5 hours,3,8,7-9 years,7,7-9 years,3,0-3 years,0,0-3 years
27,21-30 yrs old,No,Travel_Rarely,591,Research & Development,2,0-10KM,1,Medical,1,7,1,Male,40,RM31-RM60,3,1,Laboratory Technician,2,Married,3468,RM0-RM5000,16632,9,>5,Y,No,12,11-15%,3,4,80,1,6,4-6 years,3,3-5 hours,3,2,0-3 years,2,0-3 years,2,0-3 years,2,0-3 years
32,31-40 yrs old,No,Travel_Frequently,1005,Research & Development,2,0-10KM,2,Life Sciences,1,8,4,Male,79,RM61-RM90,3,1,Laboratory Technician,4,Single,3068,RM0-RM5000,11864,0,0-2,Y,No,13,11-15%,3,3,80,0,8,7-9 years,2,0-2 hours,2,7,7-9 years,7,7-9 years,3,0-3 years,6,4-6 years
59,>50 yrs old,No,Travel_Rarely,1324,Research & Development,3,0-10KM,3,Medical,1,10,3,Female,81,RM61-RM90,4,1,Laboratory Technician,1,Married,2670,RM0-RM5000,9964,4,3-5,Y,Yes,20,16-20%,4,1,80,3,12,>9 years,3,3-5 hours,2,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
30,21-30 yrs old,No,Travel_Rarely,1358,Research & Development,24,>20KM,1,Life Sciences,1,11,4,Male,67,RM61-RM90,3,1,Laboratory Technician,3,Divorced,2693,RM0-RM5000,13335,1,0-2,Y,No,22,>20%,4,2,80,1,1,0-3 years,2,0-2 hours,3,1,0-3 years,0,0-3 years,0,0-3 years,0,0-3 years
38,31-40 yrs old,No,Travel_Frequently,216,Research & Development,23,>20KM,3,Life Sciences,1,12,4,Male,44,RM31-RM60,2,3,Manufacturing Director,3,Single,9526,RM5001-RM10000,8787,0,0-2,Y,No,21,>20%,4,2,80,0,10,>9 years,2,0-2 hours,3,9,7-9 years,7,7-9 years,1,0-3 years,8,7-9 years
36,31-40 yrs old,No,Travel_Rarely,1299,Research & Development,27,>20KM,3,Medical,1,13,3,Male,94,>RM90,3,2,Healthcare Representative,3,Married,5237,RM5001-RM10000,16577,6,>5,Y,No,13,11-15%,3,2,80,2,17,>9 years,3,3-5 hours,2,7,7-9 years,7,7-9 years,7,7-9 years,7,7-9 years
